Name,Embryo,clusterUmap,Pseudotime,Dataset,EmbryoDay,Stage,clusterEmbryoCells,CDX2,LGALS1,CD3D,AES,EGR1,EGF,HTR2A,CD44,NTN1,SPEN,HEY1,GATA4,CYP3A4,SERPINB5,SHH,POU5F1P4,USF2,CFD,IGF2,TNFSF11,FOXA1,ZEB1,IL23R,NR2F2,ERCC4,SOD2,CLEC4E,PRDM14,FGFR4,CD3E,MVK,PPARG,TLR4,OTX2,POU5F1B,CFTR,DNMT1,UTF1,NR1I2,NLRC5,JAK1,GATA2,IL32,BCL2L1,MAF,IL1B,IL6R,PSEN2,HEY2,E2F6,HGF,IL1RN,TGFBR3,TNFSF10,FOXP3,ELF3,TYMP,TGFB1,IGF1R,GLI1,SIRT1,CA9,TAC1,F2,BACH1,AP1S1,SMARCA4,CEBPA,HMGB1,GLI2,WNT3A,HDAC7,PML,CSF2RA,TERT,FCER2,AHR,BMP2,IL6,TYK2,SNAI1,BSG,GDNF,SRPRA,FGF2,CGB7,AR,CHGA,EIF2A,ESR2,RB1CC1,TCF4,CCND1,FGF16,TNIK,SOX17,AKT1,TFCP2L1,ELK1,JDP2
E5.13.1762,E5.13,early_TE,36.8889499,Petropoulos2016,5.0,B,K06,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1
E5.13.1766,E5.13,early_TE,31.92700656,Petropoulos2016,5.0,B,K06,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1
E5.13.1770,E5.13,early_TE,38.18198923,Petropoulos2016,5.0,B,K06,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1
E5.13.1781,E5.13,early_TE,39.96397205,Petropoulos2016,5.0,B,K06,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1
E5.14.1788,E5.14,early_TE,35.52238186,Petropoulos2016,5.0,B,K06,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1
E5.12.1033,E5.12,medium_TE,40.83903914,Petropoulos2016,5.0,B,K07,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1
E5.12.1042,E5.12,medium_TE,43.74594345,Petropoulos2016,5.0,B,K07,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1
E5.13.1767,E5.13,medium_TE,40.82947221,Petropoulos2016,5.0,B,K06,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1
E5.16.1889,E5.16,medium_TE,42.22808967,Petropoulos2016,5.0,B,K07,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1
E5.3.55,E5.3,medium_TE,45.38116089,Petropoulos2016,5.0,B,K06,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1
